IDLabelStudio,N,sector,unidadSocial,machoAlfa,machoAlfaMerto,machosOtros,hembras,lactantes,destetadas,totalElefanteVivos,lMuertasRec,lMuertasInterm,otrosMachosMuertos,hembrasMuertas,destetadosMuertos,totalCriasMuertas,totalElefantesMuertos,lobosMuertos,gaviotas,residuosTotales,latitud,longitud,,residuosTotalesCajonesYOtros),gaviotas,totalElefanteVivos,totalElefantesMuertos,lobosMuertos
77969702,1322,sur,H2,1,0,0,11,10,3,25,4,0,0,0,0,4,4,0,119,0,-42.792546,-63.678711,,0,119,25,4,0
77969698,1326,sur,H1,1,0,0,1,0,1,3,2,0,0,1,0,2,3,0,76,0,-42.79221,-63.678107,,0,76,3,3,0
77969698,1326,sur,S,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,-42.79221,-63.678107,,0,0,0,3,0
77969698,1326,sur,H2,1,0,0,59,42,3,105,10,7,0,0,0,17,17,0,85,0,-42.79143,-63.678137,,0,85,105,17,0
77969697,1327,sur,H1,0,1,2,24,19,3,48,10,0,0,0,0,10,10,1,38,0,-42.790533,-63.678277,,0,38,48,10,1
77969692,1330,sur,H1,1,0,3,25,14,9,52,9,4,0,0,0,13,13,1,25,0,-42.788367,-63.677277,,0,25,52,13,1
77969690,1332,sur,H1,1,0,1,11,9,0,22,1,0,0,0,0,1,1,0,1,0,-42.785789,-63.673358,,0,1,22,1,0
77969694,1333,sur,H1,1,0,2,53,38,0,94,10,9,0,0,0,19,19,0,45,0,-42.784559,-63.671092,,0,45,94,19,0
77969689,1336,sur,H1,1,0,2,62,40,4,109,9,3,0,1,0,12,13,1,45,0,-42.784133,-63.669574,,0,45,109,13,1
77969801,1338,sur,H1,1,0,0,31,20,5,57,6,2,0,0,0,8,8,3,33,0,-42.782865,-63.666361,,0,33,57,8,3
77969800,1339,sur,H1,1,0,0,21,12,4,38,6,0,0,0,1,7,7,0,192,0,-42.782204,-63.6658,,0,192,38,7,0
77969858,1341,sur,H1,1,0,2,57,40,2,102,17,4,0,0,0,21,21,1,52,0,-42.781234,-63.665537,,0,52,102,21,1
77969861,1343,sur,H1,1,0,0,13,9,1,24,9,7,0,0,0,16,16,0,49,0,-42.78033,-63.664938,,0,49,24,16,0
77969860,1344,sur,H1,1,0,1,27,14,0,43,14,8,0,0,0,22,22,0,8,0,-42.779169,-63.664325,,0,8,43,22,0
77969856,1345,sur,H1,1,0,6,12,2,0,21,2,0,0,0,1,3,3,0,0,0,-42.777422,-63.659709,,0,0,21,3,0
77969854,1347,sur,S,0,0,0,1,0,0,1,0,2,0,0,1,3,3,1,6,0,-42.778313,-63.655743,,0,6,1,3,1
77969853,1348,sur,S,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,75,0,-42.779050,-63.655379,,0,75,3,0,0
77969852,1349,sur,S,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,-42.778791,-63.654522,,0,0,2,0,0
77969848,1350,sur,H1,1,0,2,27,16,1,47,0,2,0,0,0,2,2,1,0,0,-42.778308,-63.654628,,0,0,47,2,1
77969848,1350,sur,H2,1,0,0,13,10,0,24,13,0,0,1,0,13,14,0,0,0,-42.778053,-63.654031,,0,0,24,14,0
77969850,1354,sur,H1,1,0,0,28,15,0,44,22,6,0,0,0,28,28,1,3,0,-42.776944,-63.653468,,0,3,44,28,1
77969849,1355,sur,H1,1,0,0,39,25,1,66,53,9,0,0,0,62,62,4,32,0,-42.774387,-63.651904,,0,32,66,62,4
77969844,1357,sur,H2,1,0,0,47,25,0,73,29,8,0,0,0,37,37,0,23,0,-42.772228,-63.649671,,0,23,73,37,0
77969843,1358,sur,H3,1,0,2,46,34,1,84,5,2,0,0,0,7,7,0,0,0,-42.7715,-63.648555,,0,0,84,7,0
77969842,1359,sur,H1,1,0,1,29,16,1,48,7,1,0,0,0,8,8,0,0,0,-42.771191,-63.648086,,0,0,48,8,0
77969835,1361,sur,H1,1,0,1,12,7,0,21,2,0,0,0,0,2,2,1,0,0,-42.770041,-63.646122,,0,0,21,2,1
77969839,1363,sur,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-42.769709,-63.642333,,0,0,1,0,0
77969838,1364,sur,S,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-42.769499,-63.641318,,0,0,3,0,0
77969837,1365,sur,H1,1,0,5,11,5,0,22,1,0,0,0,0,1,1,0,0,0,-42.768355,-63.640288,,0,0,22,1,0
77969837,1365,sur,S,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-42.76915,-63.638746,,0,0,3,0,0
77969829,1367,sur,H2,1,0,3,46,29,5,84,0,1,0,0,0,1,1,0,25,0,-42.768306,-63.637664,,0,25,84,1,0
77969829,1367,sur,S,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-42.768894,-63.637191,,0,0,1,0,0
77969832,1370,sur,H1,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,-42.766834,-63.635367,,0,0,3,0,0
