timestamp,significant_wave_height_spotter,wind_speed_spotter,bottom_temperature_spotter,top_temperature_spotter
2023-01-26T17:48:00.000Z,,,15.020000000000003,15.64
2023-01-26T18:08:00.000Z,,,14.82,15.54
2023-01-26T18:28:00.000Z,,,14.719999999999999,15.480000000000004
2023-01-26T18:38:00.000Z,0.2,0,,
2023-01-26T18:48:00.000Z,,,14.660000000000004,15.340000000000003
2023-01-26T19:08:00.000Z,0.21,0.4,14.520000000000003,15.160000000000004
2023-01-26T19:28:00.000Z,,,14.380000000000003,15.04
2023-01-26T19:48:00.000Z,,,14.240000000000002,14.939999999999998
2023-01-26T20:08:00.000Z,,,14.160000000000004,14.780000000000001
2023-01-26T20:28:00.000Z,,,14.240000000000002,14.619999999999997
2023-01-26T20:38:00.000Z,0.12,0,,
2023-01-26T20:48:00.000Z,,,14.32,14.560000000000002
2023-01-26T21:08:00.000Z,0.13,0.4,14.36,14.480000000000004
2023-01-26T21:28:00.000Z,,,14.420000000000002,14.520000000000003
2023-01-26T21:48:00.000Z,,,14.5,14.619999999999997
2023-01-27T00:08:00.000Z,,,14.880000000000003,15.240000000000002
2023-01-27T00:28:00.000Z,,,15.04,15.280000000000001
2023-01-27T00:38:00.000Z,0.13,0,,
2023-01-27T00:48:00.000Z,,,15.060000000000002,15.340000000000003
2023-01-27T01:08:00.000Z,0.15,0,15,15.300000000000004
2023-01-27T01:28:00.000Z,,,14.980000000000004,15.219999999999999
2023-01-27T01:48:00.000Z,,,15.04,15.32
2023-01-27T02:08:00.000Z,,,15.079999999999998,15.36
2023-01-27T02:28:00.000Z,,,15.14,15.380000000000003
2023-01-27T02:38:00.000Z,0.17,0,,
2023-01-27T02:48:00.000Z,,,15.160000000000004,15.399999999999999
2023-01-27T03:08:00.000Z,0.19,2,15.18,15.380000000000003
2023-01-27T03:28:00.000Z,,,15.200000000000003,15.280000000000001
2023-01-27T03:48:00.000Z,,,15.160000000000004,15.219999999999999
2023-01-27T04:08:00.000Z,,,15.079999999999998,15.18
2023-01-27T04:28:00.000Z,,,15.060000000000002,15.14
2023-01-27T04:38:00.000Z,0.17,1.2,,
2023-01-27T04:48:00.000Z,,,14.96,15.100000000000001
2023-01-27T05:08:00.000Z,0.18,0.8,14.939999999999998,15.079999999999998
2023-01-27T05:28:00.000Z,,,14.96,15.060000000000002
2023-01-27T05:48:00.000Z,,,14.899999999999999,15
2023-01-27T06:08:00.000Z,,,14.899999999999999,15
2023-01-27T06:28:00.000Z,,,14.840000000000003,14.939999999999998
2023-01-27T06:38:00.000Z,0.24,1.2,,
2023-01-27T06:48:00.000Z,,,14.719999999999999,14.82
2023-01-27T07:08:00.000Z,0.27,0,14.600000000000001,14.759999999999998
2023-01-27T07:28:00.000Z,,,14.54,14.700000000000003
2023-01-27T07:48:00.000Z,,,14.46,14.600000000000001
2023-01-27T08:08:00.000Z,,,14.439999999999998,14.54
2023-01-27T08:28:00.000Z,,,14.340000000000003,14.420000000000002
2023-01-27T08:38:00.000Z,0.27,0.8,,
2023-01-27T08:48:00.000Z,,,14.14,14.219999999999999
2023-01-27T09:08:00.000Z,0.24,0,14.079999999999998,14.219999999999999
2023-01-27T09:28:00.000Z,,,14.100000000000001,14.259999999999998
